Breed_1,Size
Affenpinscher,S
Afghan Hound,M
Ainu Dog,M
Airedale Terrier,M
Akita,L
Alaskan malamute,L
American Bulldog,L
American Cocker Spaniel,S
American Eskimo,S
American Foxhound,L
American Staffordshire Terrier,M
American pit bull terrier,M
American Water Spaniel ,M
Anatol Shepherd,L
Anglo-French Hound ,L
Appenzell Mountain Dog ,M
Ariegeois,L
Armant,M
Artois Hound,M
Atlas Dog,L
Atlas Terrier,S
Australian Cattle Dog,M
Australian Kelpie,M
Australian Shepherd,M
Australian Terrier,S
Austrian Hound,M
Austrian Short-Haired Pinscher ,M
Auvergne Pointer,M
Balkan Hound,M
Banjara Greyhound,M
Banjara Greyhound ,M
Basenji,S
Basset Griffon Vendeen ,M
Basset Hound,M
Bassett Artesian Normand ,M
Bavarian Mountain Dog,L
Beagle,S
Beagle Harrier,M
Bearded Collie,M
Beauceron,L
Bedlington Terr,S
Belgian Malinoi,M
Belgian Sheepdog,L
Belgian Tervuren,M
Bergamasco,L
Berger de Bresse,M
Berger de Savoie,M
Berger du Languedoc,M
Bernese Hound,M
Bernese Mountain Dog,L
Bichon Frise,S
Billy,L
Black and Tan Coonhound,M
Black Forest Hound,M
Bloodhound,L
Blue Lacy,M
Bluetick hound,M
Bolognese,S
Border Collie,M
Border Terrier,S
Borzoi,L
Bosnian Rough-Haired Hound,M
Boston Terrier,S
Bouvier des Flanders,L
Boxer,L
Boykin Span,M
Braque du Bourbonnais Setter,M
Brazilian Mastiff,L
Brazilian Terrier,S
Briard,L
Briquet Griffon Vendeen,M
Brittany,M
Broholmer,L
Bruno Jura Hound,M
Bruss Griffon,S
Bull Terrier miniature,S
Bull Terrier,M
Bulldog,M
Bullmastiff,XL
Cairn Terrier,S
Canaan Dog,M
Cane Corso,L
Cardigan Welsh Corgi,M
Carolina Dog,M
Catahoula,M
Catalonian Shepherd,M
Cavalier Span,S
Cesky Terrier,S
Charplaninatz,L
Chesa Bay Retr,L
Chihuahua longhair,S
Chihuahua shorthair,S
Chinese Crested,M
Chinook,L
Chow Chow,M
Clumber Spaniel,L
Cockapoo,S
Cocker Spaniel,S
Collie rough,M
Collie smooth,M
Coton de Tulear,S
Curly-Coated Retriever,L
Dachsbracke,M
Dachshund,S
Dachshund longhair,S
Dachshund wirehair,S
Dalmatian,M
Dandie Dinmont,S
Deerhound,L
Deutsche Wachtelhund,M
Dingo,S
Doberman pinsch,L
Dogo Argentino,L
Dogue De Bordeaux,L
Drentsche Patrijshond,M
Dreyer,M
Dunker,M
Dupuy Setter,M
Dutch Shepherd,L
Dutch Waterfowl Dog,S
East Siberian Laika,M
Elkhound,M
English Bulldog,M
English Cocker Spaniel,M
English Coonhound,M
English Foxhound,L
English Setter,M
English Shepherd,M
English Springer Spaniel,M
English Toy Spaniel,S
English Toy Terrier,S
Entlebuch,M
Eskimo Dog,L
Estonian Hound,M
Estrela Mountain Dog,L
Eurasier,M
Feist,S
Field Spaniel,M
Fila,L
Finnish Hound,M
Finnish Spitz,S
Flat Coat Retriever,L
Fox Terrier,S
French Bulldog,S
French Hounds,L
French Setter,M
French Spaniel,M
Gascons-saintongeois,L
German Hunt Terrier,S
